Pairs,Sharpe,Simple_rtn,STD,Trading_times,Holding_days,Total_days,Comm
MA_20MA_30,-0.129047196,0.022898828,0.009750611,218,2916,4936,0
MA_20MA_31,-0.158230385,0.148677802,0.00975481,202,2934,4936,0
MA_20MA_32,0.137920454,0.099433465,0.009950763,190,2954,4936,0
MA_20MA_33,0.211509323,0.194133528,0.010014212,194,2967,4936,0
MA_20MA_34,0.23205675,0.286116051,0.010044658,176,2978,4936,0
MA_20MA_35,0.471432089,0.507397584,0.010242423,168,2993,4936,0
MA_20MA_36,0.49074738,0.417245721,0.010243673,166,2994,4936,0
MA_20MA_37,0.267730016,0.343859577,0.010458712,158,2995,4936,0
MA_20MA_38,0.383097442,0.469231337,0.01052098,154,3007,4936,0
MA_20MA_39,0.416138679,0.745288078,0.01052543,152,3010,4936,0
MA_20MA_40,0.376232183,0.524302215,0.01052056,146,3026,4936,0
MA_20MA_41,0.376232183,0.533030069,0.01052056,140,3028,4936,0
MA_20MA_42,0.376232183,0.642453658,0.01052056,138,3025,4936,0
MA_20MA_43,0.620629625,0.71019451,0.010449828,134,3026,4936,0
MA_20MA_44,0.620629625,0.76279708,0.010449828,128,3033,4936,0
MA_20MA_45,0.660063365,0.832856813,0.010455505,132,3038,4936,0
MA_20MA_46,0.43528667,0.74024248,0.010219019,130,3039,4936,0
MA_20MA_47,0.176244516,0.5341417,0.010268719,126,3038,4936,0
MA_20MA_48,0.242701444,0.654001935,0.010289189,126,3037,4936,0
MA_20MA_49,0.328723297,0.562395681,0.010306017,120,3048,4936,0
MA_20MA_50,0.204228343,0.483108686,0.010325494,118,3058,4936,0
MA_20MA_51,0.204228343,0.579088741,0.010325494,116,3069,4936,0
MA_20MA_52,0.302535999,0.800302691,0.010271026,118,3091,4936,0
MA_20MA_53,0.302535999,0.866107299,0.010271026,110,3122,4936,0
MA_20MA_54,0.341738083,0.873634406,0.010277553,112,3133,4936,0
MA_20MA_55,0.406203942,0.950428201,0.01025824,108,3133,4936,0
MA_20MA_56,0.392050483,0.972251986,0.010267421,104,3153,4936,0
MA_20MA_57,0.407189895,1.003685576,0.010266147,102,3166,4936,0
MA_20MA_58,0.277094048,1.174111878,0.01032445,94,3169,4936,0
MA_20MA_59,0.234363589,1.136794738,0.010333438,92,3169,4936,0
MA_20MA_60,0.070394945,1.07622645,0.010264897,92,3167,4936,0
MA_20MA_61,0.080468441,0.826444714,0.010340683,92,3167,4936,0
MA_20MA_62,0.091848796,0.860286308,0.010339976,92,3166,4936,0
MA_20MA_63,-0.018037749,0.937601064,0.010287488,90,3159,4936,0
MA_20MA_64,0.083817506,1.347267227,0.01031451,88,3154,4936,0
MA_20MA_65,0.077654965,1.347789719,0.010314972,86,3141,4936,0
MA_20MA_66,0.082697887,1.326175635,0.010315069,80,3144,4936,0
MA_20MA_67,-0.037135104,1.164727185,0.010422948,80,3145,4936,0
MA_20MA_68,-0.057685406,1.147283616,0.010425162,80,3154,4936,0
MA_20MA_69,0.000522829,1.24051957,0.010458719,80,3146,4936,0
MA_20MA_70,-0.057398958,1.317470055,0.01045184,78,3146,4936,0
MA_20MA_71,-0.057398958,1.196740678,0.01045184,80,3143,4936,0
MA_20MA_72,-0.029708498,1.207088167,0.010447815,80,3148,4936,0
MA_20MA_73,0.009913789,1.209585842,0.010439634,80,3144,4936,0
MA_20MA_74,0.002137789,1.111882688,0.010439346,80,3152,4936,0
MA_20MA_75,-0.055654718,0.924255102,0.010422158,82,3147,4936,0
MA_20MA_76,-0.148258302,0.750885802,0.010377048,82,3142,4936,0
MA_20MA_77,-0.149267159,0.667410175,0.010377039,82,3137,4936,0
MA_20MA_78,-0.06347886,0.63745282,0.010378911,84,3138,4936,0
MA_20MA_79,-0.06347886,0.650535112,0.010378911,88,3136,4936,0
MA_20MA_80,-0.06347886,0.804034282,0.010378911,84,3142,4936,0
MA_20MA_81,-0.109494719,0.677758657,0.010367787,86,3137,4936,0
MA_20MA_82,-0.134736751,0.695013048,0.01036408,86,3140,4936,0
MA_20MA_83,-0.134736751,0.749832559,0.01036408,84,3143,4936,0
MA_20MA_84,-0.134736751,0.854227178,0.01036408,84,3142,4936,0
MA_20MA_85,-0.135749152,0.9729518,0.010364071,86,3147,4936,0
MA_20MA_86,-0.211134323,1.093735112,0.010333487,84,3147,4936,0
MA_20MA_87,-0.211134323,1.078821084,0.010333487,86,3144,4936,0
MA_20MA_88,-0.299253907,0.933170177,0.010389907,80,3138,4936,0
MA_20MA_89,-0.268303067,0.872778804,0.010404482,78,3137,4936,0
MA_20MA_90,-0.108981113,1.005159033,0.010473963,74,3158,4936,0
MA_20MA_91,-0.010689138,1.258863372,0.010524579,72,3162,4936,0
MA_20MA_92,0.052297158,1.313970794,0.01060379,64,3171,4936,0
MA_20MA_93,0.014861097,1.307198954,0.010650381,66,3189,4936,0
MA_20MA_94,-0.00969428,1.312002797,0.010660899,66,3193,4936,0
MA_20MA_95,-0.168015002,1.315162416,0.010712471,64,3200,4936,0
MA_20MA_96,0.099730663,1.581876874,0.010829626,60,3210,4936,0
MA_20MA_97,0.182951138,1.632418599,0.010794184,58,3214,4936,0
MA_20MA_98,0.177113957,1.703467495,0.010794071,58,3214,4936,0
MA_20MA_99,0.177113957,1.657986534,0.010794071,58,3214,4936,0
MA_20MA_100,0.249289178,1.754830318,0.010819438,60,3222,4936,0
MA_21MA_31,-0.02103415,0.117413762,0.009858128,204,2922,4936,0
MA_21MA_32,0.055279574,0.196020519,0.009934397,198,2953,4936,0
MA_21MA_33,0.004164796,0.067560226,0.0099292,188,2967,4936,0
MA_21MA_34,0.450034192,0.258258535,0.010156412,180,2981,4936,0
