Pairs,Sharpe,Simple_rtn,STD,Trading_times,Holding_days,Total_days,Comm
MA_21MA_52,0.35515718115229883,0.8784098423514222,0.010248883804776916,114.0,3083.0,4936.0,0.0
MA_21MA_53,0.37023336564669984,0.8615285480506303,0.010247628531310126,110.0,3106.0,4936.0,0.0
MA_21MA_54,0.4454470226988466,0.9060472771016441,0.010259085592925571,110.0,3133.0,4936.0,0.0
MA_21MA_55,0.4454470226988468,0.9686726609100558,0.010259085592925567,110.0,3143.0,4936.0,0.0
MA_21MA_56,0.36325136789685764,1.1343085141145886,0.010275382354210862,100.0,3160.0,4936.0,0.0
MA_21MA_57,0.34959531373089003,1.024688356706097,0.010272330698219952,100.0,3163.0,4936.0,0.0
MA_21MA_58,0.23436498079946785,1.0472608623489412,0.010333432247512578,94.0,3172.0,4936.0,0.0
MA_21MA_59,0.14579856092345012,1.0608168803319855,0.010370085481633111,94.0,3173.0,4936.0,0.0
MA_21MA_60,0.05543771512312408,1.1411706465160898,0.010334213049504219,92.0,3168.0,4936.0,0.0
MA_21MA_61,0.1314936873810771,1.0628975286506241,0.010347447239624876,90.0,3168.0,4936.0,0.0
MA_21MA_62,0.02829605010098715,1.18453475728935,0.01029489367368207,90.0,3162.0,4936.0,0.0
MA_21MA_63,0.025758681682563987,1.146667470799828,0.010296159094415589,88.0,3157.0,4936.0,0.0
MA_21MA_64,0.03181649614054657,1.0954846323724574,0.010296268550323735,88.0,3156.0,4936.0,0.0
MA_21MA_65,-0.16755363688276798,1.080176404844781,0.01044751905625711,82.0,3154.0,4936.0,0.0
MA_21MA_66,-0.16755363688276725,1.0230723279511458,0.010447519056257112,80.0,3152.0,4936.0,0.0
MA_21MA_67,-0.15866448084966608,1.087688588458751,0.01046959376270829,80.0,3148.0,4936.0,0.0
MA_21MA_68,-0.129935603253897,1.1118156846643155,0.010494290437169122,80.0,3147.0,4936.0,0.0
MA_21MA_69,-0.11857871603606762,0.9880707207319768,0.01050135274241982,82.0,3151.0,4936.0,0.0
MA_21MA_70,-0.03623086582654037,0.8644651746123979,0.010465288453801262,78.0,3151.0,4936.0,0.0
MA_21MA_71,-0.012409793396346992,0.9021697676620104,0.010462305475666043,78.0,3150.0,4936.0,0.0
